category,item,quantity_for_1_table,likely_source,required,notes
Impact,small cardboard box,2,shipping/recycling,yes,clean and sturdy
Impact,wooden block or small cutting board,1,home/kitchen/store,yes,avoid splinters
Impact,plastic container with lid,2,office/home/store,yes,good snap sound
Impact,metal spoon,2,kitchen/store,yes,use with mug or tin
Impact,ceramic mug,1,kitchen/store,yes,avoid if breakage risk is high
Impact,binder clips,6,office supply,yes,various sizes
Impact,keys on keyring,1,facilitator/office,yes,use non-sensitive spare keys
Impact,empty mint tin,1,store/reuse,optional,remove food residue
Impact,small rubber ball,1,store,optional,good playful bounce
Texture,tissue paper,6 sheets,craft/packaging,yes,quiet crinkle
Texture,brown paper bag,3,grocery/store,yes,shopping/browsing texture
Texture,aluminum foil,3 sheets,kitchen/store,yes,shimmer/tension
Texture,felt square,2,craft store,yes,softness/calm
Texture,denim or canvas scrap,2,fabric scrap,optional,durable texture
Texture,microfiber cloth,2,cleaning supply,yes,smooth sweep
Texture,rice or lentils in sealed container,1,kitchen/store,yes,seal container tightly
Texture,beads in sealed container,1,craft store,optional,bright movement
Texture,paintbrush,1,craft/store,yes,air/sweep
Texture,bubble wrap,1 sheet,packaging,optional,avoid popping in quiet spaces
Motion,zipper pouch,1,office/store,yes,reveal/transition
Motion,Velcro strip,1,craft/store,yes,attachment/reveal
Motion,retractable tape measure,1,tool kit,yes,precision/movement
Motion,small toy car,1,store,yes,cart/delivery/motion
Motion,cardboard tube,2,recycling,yes,whoosh/tunnel
Motion,plastic ruler,2,office supply,yes,slide/scan
Motion,deck of cards,1,store,yes,sequence/sorting
Motion,reusable shopping bag,1,store,yes,store movement
Motion,smooth stones in sealed container,1,craft/home,optional,weight/material movement
Motion,small chain or bead necklace,1,craft/home,optional,mechanism/conveyor
Human/Gesture,pencil,4,office supply,yes,tap/office rhythm
Human/Gesture,cardboard footstep square,1,recycling,yes,step surface
Tone/Electronic,desk bell,1,store,optional,service/arrival
Tone/Electronic,bicycle bell,1,bike/shop,optional,friendly alert
Tone/Electronic,kalimba/thumb piano,1,music/craft,optional,warm tone
Tone/Electronic,toy keyboard,1,store,optional,synthetic tone
Tone/Electronic,littleBits/Korg synth kit,1,existing equipment,optional,electronic layer
Technology,headphones,2-6,existing/store,yes,reduces noise
Technology,small speaker,1,existing/store,yes,share-out
Technology,recording device,2-6,phones/Chromebooks,yes,test beforehand
Print,cue sheets,20-30,printer,yes,participant artifact
Print,prompt cards,1 set,printer,yes,table activity
Print,bin labels,1 set,printer,yes,clarity for non-specialists
