item,qty,unit_cost,source,notes
LEGO Spike Essential kit,6,,"","Pairs share kits; expandable"
Raspberry Pi Pico,12,,"","If using MicroPython path"
Arduino-compatible board,12,,"","If using Arduino path"
Motor driver (DRV8833/L298N),12,,"","Match your motors"
Ultrasonic sensor (HC-SR04),12,,"","Or LEGO distance sensor"
Piezo/small speaker,12,,"",""
Addressable LED strip (small),12,,"","5V"
Battery pack / bank,12,,"","Charging plan required"
Breadboard + jumper set,12,,"",""
Tools bundle (screwdriver, cutters),6,,"","Share"
Safety glasses,16,,"",""
Gaffer tape (cable mgmt),2,,"",""
Bins with labels,12,,"","Team kits"
